project_name,date_start,date_end,description,status
Y-Solowarm,2023-07-06T00:54:02Z,2024-12-23T02:00:00Z,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",in-preparation
Biodex,2023-01-10T22:50:48Z,2024-10-27T19:56:14Z,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",in-preparation
Overhold,2023-03-20T11:09:44Z,2025-04-22T15:51:47Z,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,in-preparation
Transcof,2023-08-17T19:07:22Z,2025-03-01T08:02:37Z,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",in-preparation
Wrapsafe,2023-10-28T14:35:43Z,2024-08-23T22:28:50Z,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",in-preparation
Alpha,2023-11-11T06:16:30Z,2024-10-24T13:52:01Z,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",in-preparation
Veribet,2023-02-08T05:48:36Z,2025-01-06T07:55:51Z,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",open
Subin,2023-01-31T19:14:44Z,2024-11-18T06:44:03Z,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",open
Overhold,2023-02-12T13:27:04Z,2024-07-31T11:24:19Z,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",open
Latlux,2023-12-02T03:37:38Z,2024-08-23T10:06:49Z,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,in-preparation
Fixflex,2023-02-08T08:00:05Z,2025-06-09T12:32:05Z,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,open
Bitchip,2023-04-17T09:56:47Z,2024-10-11T03:08:35Z,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",open
Keylex,2023-06-09T13:43:03Z,2025-05-27T07:10:41Z,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",open
Viva,2023-07-08T03:13:25Z,2024-11-18T15:02:36Z,Fusce consequat. Nulla nisl. Nunc nisl.,in-preparation
Duobam,2023-04-30T14:05:23Z,2025-01-09T05:55:04Z,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",in-preparation
Latlux,2022-09-25T03:29:13Z,2024-09-25T23:45:49Z,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",open
Home Ing,2022-07-13T02:16:13Z,2025-06-15T06:39:30Z,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",in-preparation
Zoolab,2023-12-08T10:15:16Z,2025-01-17T13:17:40Z,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",open
Transcof,2022-09-19T01:02:48Z,2025-06-02T14:13:17Z,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,openBamity,2023-04-25T21:22:47Z,2025-03-15T06:04:54Z,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",open
